Paraula,Definicio
isobronta,['Línia que uneix els punts pels quals passa simultàniament una línia de tempestes.']
isocasma,['Línia que uneix en un mapa sinòptic els punts que tenen la mateixa freqüència anual d’aurores.']
isòfena,['Línia que uneix punts simultanis d’algun fet fenològic.']
isògona,"['Línia que passa pels punts on el vent té la mateixa direcció relativament als punts cardinals. En el mètode de Sandström, llur traçat és una operació prèvia per al de les línies de corrent.']"
isograma,['Mapa en el qual ha estat dibuixat un sistema d’isolínies.']
isohèlia,['Línia que uneix en un mapa sinòptic els punts que tenen la mateixa insolació.']
isohieta,['Línia que passa per punts d’igual quantitat de precipitació aquosa durant un període de temps determinat.']
isohipsa,['Línia que uneix en un mapa sinòptic els punts que tenen la mateixa altura geopotencial.']
isohipsa relativa,['Línia que uneix en un mapa sinòptic els punts que tenen la mateixa espessor de l’estrat d’aire comprès entre dues superfícies isobàriques determinades.']
isolínia,"['Nom genèric de les línies que en un mapa uneixen punts on és igual el valor d’alguna variable meteorològica. La terminologia de les isolínies, gairebé tota d’etimologia grega, és molt vasta; però són molts els noms d’aquesta classe que estan pràcticament en desús. A més, amb poc esforç es pot deduir per a cadascun, si es vol, la forma catalana escaient. Es pot veure una relació molt completa d’aquestes famílies de línies (isograms) en un treball del professor Charles Fitzhugh Talman publicat en la Monthly Weather Review dels Estats Units (abril del 1917, pàgines 195-198), o bé en el «Vocabulario de líneas meteorológicas» de R. P. Selga, publicat en el Boletín de la Sociedad Astronómica de España y América, núm. del 153 al 159. Al Lexique météorologique en consten també en gran nombre.']"
isòmera,"['Línia que uneix els punts per als quals l’anomalia mensual, anual, etc., de pluja té el mateix valor, comptat en tant per cent de la pluja normal.']"
isònefa,['Línia que uneix els punts de la Terra que tenen la mateixa nuvolositat mitjana.']
isopícnic | isopícnica,['D’igual densitat. Superfícies isopícniques = superfícies que passen pels punts on l’aire té la mateixa densitat. Nivell isopícnic = altitud (d’uns 8 km) a la qual són petites les variacions de densitat de l’aire.']
isopleta,"['Línia que en una gràfica passa per punts corresponents a un determinat valor d’una variable meteorològica, quan aquest és referit a dues variables independents, una de les quals, generalment, és el temps (p. ex., temperatura per a cada hora del dia i cada època de l’any). Quan la gràfica és una representació cartesiana, les isopletes venen a ésser com les corbes de nivell d’un mapa topogràfic.']"
isostèric | isostèrica,['D’igual volum específic.']
isoquímena,['Línia que uneix en un mapa sinòptic els punts que tenen la mateixa temperatura mitjana a l’hivern.']
isòstera,['Línia que uneix en un mapa sinòptic els punts que tenen el mateix volum específic de l’aire.']
isotaca,['Isanemona.']
isòtera,['Línia que uneix en un mapa sinòptic els punts que tenen la mateixa temperatura mitjana a l’estiu.']
isoterma,['Línia que passa per punts d’igual temperatura (de l’aire o de l’aigua del mar).']
isozero,['Isoterma de 0 °C.']
jarovització,"['Procediment per a modificar algun dels períodes crítics d’una planta (en particular, del blat) a fi d’alterar el seu cicle vegetatiu per a una fructificació precoç o al desfasament en relació amb el cicle vital d’algun paràsit nociu. Un dels mitjans utilitzats és el manteniment d’una temperatura artificialment baixa durant la fase de llavor.']"
jet stream,['Corrent en jet.']
La Niña,"['Fase positiva del fenomen ENSO, consistent en una intensificació dels vents alisis i un aflorament de les aigües fredes profundes del Pacífic equatorial.']"
Niña,['Vegeu La Niña.']
lacunosus,"['Dit de la varietat de núvol del gènere cirrocúmulus, altocúmulus o estratocúmulus constituït per una capa prima de núvols, de vegades en forma de retalls, amb forats distribuïts de manera regular semblant a un rusc.']"
laminar,['Es diu dels corrents fluids que no presenten turbulència. Especialment s’aplica al vent horitzontal no turbulent.']
latitud,['Angle que la vertical d’un lloc forma amb el pla de l’equador terrestre.']
lenticular,"['En forma de llentia (o, millor, de la secció meridiana d’una llentia). Adjectiu que s’aplica als núvols de l’esmentada forma, freqüentment produïts per la condensació que té lloc en una capa atmosfèrica humida empesa cap amunt per l’acció orogràfica sobre el vent, o per una potent convecció de les capes inferiors.']"
lidar,['Radar meteorològic que utilitza senyals de làser.']
límit de la convecció,"['Part superior d’un núvol convectiu. En anglès, LOC (limit of convection).']"
línia d’inestabilitat,['Línia al llarg de la qual es produeix inestabilitat atmosfèrica no associada a un front.']
línia de calitja,['Línia que constitueix el límit entre l’aire contaminat per partícules sòlides en suspensió sota una inversió tèrmica i l’aire relativament net situat per damunt d’aquest aire contaminat.']
línia de convergència,['Línia de discontinuïtat on convergeixen corrents d’aire enfrontats entre si en un mateix pla horitzontal.']
línia de corrent,"['En un mapa sinòptic, línia de corrent del vent a la qual és tangent la direcció del vent en cada punt.']"
línia de divergència,"['Línia de discontinuïtat on divergeixen corrents d’aire que es desplacen en sentits contraposats, en un mateix pla horitzontal.']"
línia de falca anticiclònica,['Línia que uneix en un mapa sinòptic els punts d’una falca anticiclònica on la curvatura de les isòbares o de les isohipses és màxima.']
línia de tàlveg,['Línia que uneix en un mapa sinòptic els punts d’un tàlveg on la curvatura de les isòbares o de les isohipses és màxima.']
línia de torbonada,"['Sèrie de torbonades simultànies, en una línia que pot assolir 400 o 500 km de llarg, i que avança en sentit transversal. Sol ocupar l’extensió del front fred d’una massa d’aire fred que empeny una altra de calenta. En un mapa sinòptic, representa la trajectòria que segueix una torbonada.']"
lisímetre,"['Instrument que es troba inserit en el sòl, ple amb la mateixa terra i vegetació, que mesura l’evaporació de l’aigua del sòl, l’evapotranspiració de referència i la d’un cultiu, i conseqüentment la capacitat de drenatge d’un sòl.']"
litometeor,['Meteor format per un conjunt de partícules sòlides no aquoses que es troben suspeses en l’aire.']
llacuna,['Falla.']
llamp,['Descàrrega elèctrica entre un núvol de tempesta i el terra. També es poden produir a les columnes eruptives de les erupcions volcàniques.']
llamp globular,"['Llamp en forma de bola, de 5 a 20 cm de diàmetre, de moviments pausats, com si flotés en l’aire, i que sol acabar desapareixent amb una explosió. Se’l suposa constituït per una substància especial: la matèria ceràunia.']"
llamp moniliforme,['Llamp en forma de rosari (format per diminuts llamps globulars).']
llampec,"['Descàrrega elèctrica que es produeix dins d’un núvol o entre núvols de tempesta, o bé entre aquests i l’aire. També poden formar-se dins de les columnes eruptives dels volcans']"
llampec de calor,['Llampó.']
llampec de rosari,['Llampec que s’observa en forma de línia interrompuda aparentment.']
llampó,"['Llampec que s’observa a gran distància, aproximadament a 200 o 300 km de la persona que l’observa.']"
llampurneig dels astres,"['Variacions ràpides de color o de lluentor de les estrelles, produïdes per l’agitació de l’atmosfera.']"
llebeig,['Garbí.']
llengua d’aire càlid,"['Zona extensa d’aire càlid associada a una dorsal que s’estén des de l’àmbit subtropical fins a les latituds altes, i que afecta de ple les latituds mitjanes.']"
llengua d’aire fred,"['Zona extensa d’aire fred associada a un tàlveg o solc que s’estén des de l’àmbit polar fins a les zones tropicals, i que afecta de ple les latituds mitjanes.']"
llengua d’aire humit,['Prominència que en les cartes isentròpiques projecten sovint les masses d’aire humides dins l’aire sec.']
llengua d’aire sec,['Prominència que en les cartes isentròpiques projecten sovint les masses d’aire sec dins l’aire humit.']
llevant,"['En termes generals, tots els vents del sector E. Temporal de llevant, llevantada = vent fresc o fort del NE, que a la costa catalana va acompanyat de mal temps i mar grossa.']"
llevantada,"['Temporal de llevant que comporta pluges intenses, mal estat de la mar i vent fort.']"
temporal de llevant,['Llevantada.']
llindar de contrast,['Valor mínim del contrast de luminància que permet distingir un objecte del seu entorn.']
llot atmosfèric,"['Capa inferior atmosfèrica, tèrbola i carregada d’impureses, que sojorna damunt els centres habitats, les regions industrials i els seus encontorns. Vista de lluny, sol presentar l’aspecte de boira o de calitja espessa.']"
llum cendrosa,"['Il·luminació dèbil de color gris que s’observa a la part ombrejada de la Lluna des de la Terra, a conseqüència del reflex de la llum de la Terra sobre la Lluna.']"
llum purpúria,"['Clap lluminós que a voltes s’observa en el cel, poc després de post del Sol, a uns 25° d’altura sobre el punt on l’astre ha desaparegut. Tant com va fent-se fosc, la llum purpúria es va engrandint i adquireix color, acostant-se ràpidament a l’horitzó.']"
claror purpúria,['Llum purpúria.']
llum zodiacal,['Con de llum molt feble que es veu a ponent després del crepuscle vespertí (gener a març) o a llevant abans del matí (setembre a octubre). Se la suposa produïda per la difusió de la llum del Sol en la seva atmosfera més externa.']
lucímetre,"['Instrument per a mesurar la quantitat d’energia radiant rebuda en un lloc, d’acord amb la quantitat d’alcohol etílic evaporada durant un cert temps sota l’acció d’aquelles radiacions.']"
luminància,['Quocient entre la intensitat de la llum emesa en una direcció per una superfície infinitesimal lluminosa i l’àrea d’aquesta superfície projectada ortogonalment a la direcció donada.']
lunar,"['Que fa referència a la Lluna (halo lunar, dia lunar, etc.).']"
lustre,"['Període de cinc anys, freqüentment adoptat en les estadístiques climatològiques que comprenen molts anys.']"
macarreu,"['Varietat d’altocúmulus. Aquest mot és una corrupció del mackerel anglès o del maquereau francès, amb els quals es designen altocúmulus o cirrocúmulus de la varietat undulatus, per comparació amb les ondes clares i fosques de la pell del verat. En la definició que Emerencià Roig i Joan Amades donen de macarreu en el Butlletí de Dialectologia, no figura aquesta circumstància de la forma ondulada. És, doncs, provisionalment que considerem el mot macarreu com a expressiu de formes undulatus dels Ac o Cc.']"
macroclima,['Clima d’una regió extensa.']
macrometeorologia,['Branca de la meteorologia que estudia els elements meteorològics que tenen lloc sobre una regió geogràfica extensa.']
malla,"['Conjunt de punts definits en un model numèric meteorològic o climàtic, que tenen assignades unes variables meteorològiques o climàtiques. La distància entre aquests punts defineix la resolució espacial del model.']"
mamma,"['Complement de núvol constituït per protuberàncies que pengen. S’aplica als núvols que en llur base presenten formes arrodonides penjants, com mamelles o bosses fosques, sovint prou transparents perquè a través d’una de les bosses s’endevini el contorn de les que té darrere. Poden ésser mamma moltes espècies de núvols, però més generalment ho són els estratocúmuls, els cúmulonimbus i els cirrus nothus. El cas més freqüent és el dels mammatocúmulus, que apareixen com a forma efímera sota les ales de les encluses.']"
mànega,"['Remolí de vent amb un diàmetre màxim generalment d’uns centenars de metres, un gran descens de la pressió atmosfèrica a l’interior, un intens corrent vertical de succió, una velocitat tangencial màxima de 500 km/h i una velocitat de translació normalment inferior a 50 km/h, que penja d’un núvol cumuliforme, sovint un cumulonimbus, i està en contacte amb la superfície terrestre o aquàtica, el qual és visible generalment pel núvol en forma de con que genera o la pols, els objectes o l’aigua que aixeca al seu pas.', 'Tromba marina o de llac. Vulgarment s’anomena mànega d’aigua un xàfec desfet, però l’accepció és incorrecta.', 'Bossa cònica de teixit lleuger, que en els camps d’aviació serveix de penell en inflar-se per l’acció del vent.', 'Anemoscopi que consta d’una bossa troncocònica de roba resistent i lleugera, oberta pels dos extrems.']"
mànega marina,['Mànega(1).']
cap de fibló,"['A les Illes Balears, mànega(1).']"
fibló,"['A les Illes Balears, mànega(1).']"
mapa d’altura,['Mapa sinòptic on es representen els elements meteorològics corresponents a una superfície de l’atmosfera lliure.']
mapa d’altura constant,['Mapa sinòptic on es representa la distribució d’elements meteorològics sobre una superfície horitzontal o sobre una superfície de geopotencial constant.']
mapa d’espessor,['Topografia relativa.']
mapa de la tropopausa,['Mapa sinòptic on es representa la distribució de l’altitud de la tropopausa.']
mapa de pressió constant,['Mapa sinòptic on es representa la distribució d’elements meteorològics sobre una superfície de pressió atmosfèrica constant.']
mapa de superfície,['Mapa sinòptic on es representen els elements meteorològics observats a la superfície terrestre i corregits a nivell del mar.']
mapa previst,['Mapa del temps tant de superfície com d’altura d’una o diverses variables meteorològiques a una hora determinada.']
mapa sinòptic,"['Mapa geogràfic on es representa la distribució d’elements meteorològics durant un període de temps determinat mitjançant figures, símbols meteorològics o isolínies.']"
mar,['Vegeu estat de la mar.']
marejada,['Vegeu estat de la mar.']
maror,['Vegeu estat de la mar.']
marutxell,['Vegeu estat de la mar.']
mar de fons,"['Ones que són degudes a vents llunyans o a vents que ja no bufen. Es distingeixen de les produïdes pels vents locals actuals, per la seva regularitat i per la seva major lentitud, a més de no concordar generalment amb el vent observat in situ. En arribar a terra, les ones de mar forana se solen estendre més platja amunt que les ordinàries.']"
mar de fora,['Mar de fons.']
mar forana,['Mar de fons.']
mar llarguera,['Mar de fons.']
mar de lluny,['Mar de fons.']
mar de núvols,"['Superfície superior d’una capa de núvols, generalment estratocúmuls, en què es manifesten ondulacions de diverses amplituds. La capa superior correspon a la capa d’inversió tèrmica.']"
mar fumant,['Mar en el qual apareix un camp de fumeres.']
marea atmosfèrica,"['Variació de la pressió atmosfèrica causada per l’acció gravitacional de la Lluna o l’acció gravitacional i tèrmica del Sol, a conseqüència de la qual es produeixen diàriament dos màxims i dos mínims de pressió atmosfèrica.']"
marea baromètrica,['Marea atmosfèrica.']
marea ciclònica,['Elevació del nivell del mar durant el pas d’una depressió.']
marea ionosfèrica,['Oscil·lació en la ionosfera causada per l’acció del camp gravitatori de la Lluna o per l’acció gravitacional i tèrmica del Sol.']
marea meteorològica,"['Variació del nivell del mar a conseqüència dels canvis atmosfèrics, que poden ser deguts a canvis en la pressió atmosfèrica o per l’acció del vent sobre la superfície marina.']"
marge,"['Qualsevol de les dues regions d’un sistema nuvolós més apartades de la trajectòria del centre. Es caracteritza per núvols en bancs (Ac, etc.) i alguns cirrus, que poden coexistir amb cúmulus de bon temps.']"
marinada,['Brisa de mar.']
marxa,"['Règim d’una variable meteorològica durant un cert període de temps (dia, any, etc.); p. ex., marxa mitjana diürna de la temperatura.']"
massa d’aire,"['Massa troposfèrica que ocupa una gran extensió i es diferencia de les masses veïnes pel seu lloc d’origen i per les seves característiques físiques (temperatura, humitat, transparència, direcció del moviment, etc.). Unes masses d’aire estan separades de les altres per superfícies de discontinuïtat o fronts.']"
massa d’aire àrtica,['Massa d’aire d’origen àrtic.']
massa d’aire antàrtica,['Massa d’aire d’origen antàrtic.']
massa d’aire càlid,['Massa d’aire més calenta que la massa d’aire que reemplaça.']
massa d’aire continental,['Massa d’aire que està durant uns dies sobre una regió continental on adquireix un grau d’humitat baix.']
massa d’aire equatorial,['Massa d’aire que està durant uns dies sobre una regió propera a l’equador on adquireix una temperatura relativament alta.']
massa d’aire estable,['Massa d’aire que presenta estabilitat atmosfèrica en les seves capes baixes.']
massa d’aire fred,['Massa d’aire més freda que aquella massa d’aire que reemplaça.']
massa d’aire inestable,['Massa d’aire que presenta inestabilitat atmosfèrica en les seves capes baixes.']
massa d’aire marítim,['Massa d’aire que està durant uns dies sobre una regió marítima on adquireix un grau d’humitat elevat.']
massa d’aire polar,['Massa d’aire que està durant uns dies sobre regions de latitud alta on adquireix una temperatura baixa.']
massa d’aire tropical,['Massa d’aire que està durant uns dies sobre regions tropicals o subtropicals on adquireix una temperatura alta.']
massa òptica de l’aire,['Quocient entre la longitud recorreguda per un raig de llum a través de l’atmosfera i la distància corresponent segons la vertical.']
matèria ceràunica,"['Compost inestable i efímer dels gasos de l’aire, de composició molecular desconeguda, que se suposa format per la descàrrega elèctrica d’un núvol i que, segons alguns autors, en fer explosió constitueix el llamp i produeix el tro. Segons la mateixa hipòtesi, el llamp globular no seria sinó una acumulació d’aquesta matèria en un espai reduït, com ho serien també els granets dels llamps en forma de rosari.']"
substància ceràunica,['Matèria ceràunica.']
matèria fulgurant,['Matèria ceràunica.']
màximum,['El valor més elevat assolit per una variable meteorològica. El màximum de temperatura correspon a la temperatura màxima.']
medicà,"['Petit cicló o depressió format sobre la Mediterrània, amb una estructura similar a la dels huracans tropicals, però d’unes dimensions i intensitat més reduïdes. Forma adaptada al català de la contracció anglesa mediterranean hurricane (medicane).']"
mediocris,['Dit de l’espècie de núvol del gènere cúmulus amb una extensió vertical moderada i protuberàncies petites al cim.']
megatemperatura,['Temperatura potencial en què es pren com a pressió tipus la de 1.000 mil·libars.']
menisc,['Superfície corba en la qual termina superiorment un líquid dins un tub.']
meridiana,['Línia nord-sud.']
merlet,"['Prominència més o menys seriada, en forma de columna o de torre, que per efecte de la inestabilitat de l’aire sorgeix de la superfície superior d’un banc de núvols, en particular dels altocúmulus. En el llenguatge internacional, els núvols emmerletats porten el qualificatiu de castellatus.']"
mesoalta,['Zona d’alta pressió d’unes dimensions mesoescalars inferiors a les d’un anticicló sinòptic.']
alta mesoescalar c. nom,['Mesoalta.']
mesobaixa,['Zona de baixa pressió d’unes dimensions mesoescalars inferiors a les d’una depressió sinòptica.']
baixa mescoescalar,['Mesobaixa.']
mesocicló,"['Cicló de fins a una desena de kilòmetres de diàmetre, que es pot trobar a l’interior d’una tempesta.']"
mesometeorologia,['Branca de la meteorologia que estudia els elements meteorològics que tenen lloc sobre superfícies d’entre 5 i 2.500 km².']
mesoescala,"['Escala meteorològica intermèdia que inclou els fenòmens meteorològics d’unes dimensions horitzontals de pocs kilòmetres fins a alguns centenars. Es divideix en tres subescales: mesoalfa (entre 200-2.000 km), mesobeta (entre 20 i 200 km) i mesogamma (entre 2 i 20 km).']"
mesopausa,['Zona que separa la mesosfera de la termosfera.']
mesosfera,"['Capa esfèrica de l’atmosfera, per sobre de l’estratosfera, en la qual la temperatura de l’aire decreix amb l’altitud i s’estén des dels 50-55 km fins als 85 km d’altitud aproximadament.']"
mestral,"['Vent fred i sec del NW, que acostuma a bufar amb molta força a la vall de l’Ebre, el canal del Roine i la costa mediterrània francesa, generalment amb cel serè. Fontserè usa el terme mistral per designar el mestral en aquesta regió francesa.']"
mestralada,['Temporal de mestral.']
METAR,['Missatge xifrat d’un informe meteorològic habitual i rutinari que inclou variables d’interès en les operacions aeronàutiques. L’acrònim prové del terme anglès meteorological aerodrome report.']
meteodiversitat,"['Descripció i quantificació de la diversitat meteorològica d’una zona determinada. Consisteix en la descripció i quantificació de la varietat de diferents fenòmens meteorològics en una zona determinada, tenint en compte la proporció de cadascun dels fenòmens meteorològics individuals pertanyents a tot el conjunt de fenòmens meteorològics d’una zona, inclosos en una base de dades definida. La meteodiversitat està relacionada amb el desordre de l’atmosfera. En aquest sentit, també és una mesura de l’entropia de l’atmosfera.']"
meteo,['Meteorograma.']
meteo col·lectiu,['Meteo sinòptic.']
meteor,"['Nom genèric de tots els fenòmens físics naturals que s’esdevenen en l’atmosfera.', 'Estel fugaç o fallidor; fragment de matèria sòlida que corre per l’espai i en penetrar en l’atmosfera es posa incandescent mentre es va sublimant i pren l’aparença d’una estrella que cau.']"
meteor elèctric,['Fenomen meteorològic causat per les càrregues elèctriques presents a l’atmosfera que té una manifestació visible o audible.']
meteor lluminós,"['Fenomen atmosfèric causat per la interacció de la llum procedent del Sol o la Lluna amb l’atmosfera, que té una manifestació visible.']"
meteorització,"['Exposició continuada a la intempèrie.', 'L’efecte d’aquesta exposició.', 'Sovint s’usa aquest terme per fer referència a la degradació que experimenten els materials geològics per l’acció de la intempèrie.']"
meteorograma,['Representació gràfica de l’evolució temporal d’una o diverses variables meteorològiques en unes coordenades geogràfiques concretes. Despatx xifrat amb el qual es comunica l’estat atmosfèric en una o diverses estacions meteorològiques. S’hi representa de forma gràfica l’evolució temporal d’una o diverses variables meteorològiques en unes coordenades geogràfiques concretes.']
meteorògraf,"['Aparell de sondatge atmosfèric que enregistra la pressió, la temperatura i la humitat.', 'Instrument meteorològic que enregistra les variacions de més d’una variable meteorològica durant un període de temps determinat.']"
meteoròleg | meteoròloga,['Persona que es dedica professionalment a la meteorologia.']
meteorologia,"['Ciència de l’atmosfera.', 'Ciència que estudia l’estat físic de l’atmosfera en un moment determinat i que té com a objectiu principal preveure l’evolució d’aquest estat.']"
meteorologia aeronàutica,['Branca de la meteorologia que estudia la influència dels elements meteorològics sobre l’aeronàutica.']
meteorologia agrícola,['Branca de la meteorologia que estudia la influència dels elements meteorològics sobre l’agricultura.']
meteorologia aplicada,['Branca de la meteorologia que estudia la influència dels elements meteorològics sobre les activitats humanes.']
meteorologia dinàmica,"['Estudi dels fenòmens de l’atmosfera, considerats com a conseqüència de les forces a les quals està sotmesa.']"
meteorologia espacial,"['Disciplina científica que estudia l’estat físic i els fenòmens que ocorren en l’espai interplanetari proper a la Terra, que abasta des del límit superior de l’atmosfera fins al Sol.']"
meteorologia experimental,['Branca de la meteorologia que estudia els fenòmens atmosfèrics mitjançant experiments de laboratori i de camp.']
meteorologia física,['Branca de la meteorologia que estudia les propietats físiques de l’atmosfera.']
meteorologia hidrològica,"['Branca de la meteorologia que estudia els productes de congelació de l’aigua, de la condensació o de la sublimació del vapor d’aigua presents a l’atmosfera.']"
meteorologia marítima,['Branca de la meteorologia que estudia la interacció entre l’atmosfera i les aigües marítimes.']
meteorologia mèdica,['Branca de la meteorologia que estudia la influència dels elements meteorològics sobre l’organisme humà.']
meteorologia sinòptica,['Branca de la meteorologia que estudia la distribució i l’evolució dels elements meteorològics a l’espai mitjançant mapes sinòptics.']
meteorologia teòrica,['Branca de la meteorologia que estudia els fenòmens atmosfèrics mitjançant teories científiques.']
meteorotropisme,['Sensibilitat d’un ésser viu al temps atmosfèric.']
Meteosat,['Antic sistema europeu de satèl·lits meteorològics geoestacionaris destinats a cobrir les necessitats específiques de la comunitat meteorològica europea. Actualment ha estat substituït pel sistema de satèl·lits anomenat EUMETSAT.']
metre geodinàmic,"['Unitat de longitud, usada sovint en la reducció dels sondatges atmosfèrics, corresponent a una variació de 105 vegades la unitat C. G. S. de geopotencial en direcció vertical. És pròximament igual a 102 centímetres, i varia lleument d’uns llocs als altres a causa de les diferències en el valor de la gravetat.']"
metre dinàmic,['Metre geodinàmic.']
mètode de les analogies,['Mètode de predicció meteorològica basat en la suposició que una situació sinòptica evolucionarà de manera anàloga a com ho va fer en el passat el mateix tipus de situació.']
mètode de les pertorbacions,['Mètode de predicció meteorològica per mitjà del qual s’obté una solució aproximada de les equacions dels moviments atmosfèrics mitjançant la superposició d’una pertorbació petita sobre un estat estable.']
microbarògraf,['Aparell per a enregistrar les variacions molt petites i ràpides de la pressió atmosfèrica']
microclima,"['Conjunt de condicions climàtiques d’una zona que són diferents del clima general de l’àrea que l’envolta. El terme es pot referir a una superfície de pocs metres quadrats (per exemple, un jardí) o d’uns quants kilòmetres quadrats (per exemple, una vall o un municipi).']"
microfísica de núvols,['Part de la física de l’atmosfera que estudia els processos implicats en la formació dels núvols i de la precipitació.']
microràfaga,['Sobtat i petit esclafit amb ràfegues de fins a 200 km·h–1 d’un abast horitzontal d’uns pocs kilòmetres i una durada màxima de l’ordre dels cinc minuts.']
microescala,"['La menor de les escales meteorològiques, que abasten els fenòmens meteorològics des de pocs centímetres a diversos metres d’extensió horitzontal. Se subdivideix en la microalfa (de centenars de metres fins a uns 2 km), la microbeta (de desenes a centenars de metres) i la microgamma (de pocs centímetres a desenes de metre).']"
micrometeorologia,['Branca de la meteorologia que estudia els elements meteorològics que tenen lloc sobre una capa d’aire prima que està en contacte amb la superfície terrestre.']
microsisme,"['Ondulació relativament ràpida i petita de la part sòlida de la Terra. Llur període és de 4 a 6 segons de mitjana, i la seva amplitud sol ésser inferior a 3 mil·lèsimes de mil·límetre. Han estat atribuïts a efectes del vent, de les onades o a altres causes d’origen meteorològic.']"
migjorn,['Vent del S.']
milla anglesa,"['Unitat de longitud equivalent a 1.609,315 m. En anglès, statute mile.']"
milla terrestre,['Milla anglesa.']
milla geogràfica,['Unitat de longitud equivalent a 1 minut d’arc de meridià terrestre.']
milla marina,['Milla geogràfica.']
mil·libar,"['Mil·lèsima part del bar, equivalent a 1.000 dines per cm2.']"
mínimum,"['El més baix dels valors que assoleix una variable meteorològica. Per exemple, el mínimum de temperatura correspon a la temperatura mínima.']"
minva,['Descens del nivell del mar per sota del normal. Acostuma a produir-se a conseqüència d’una situació anticiclònica fruit de l’acció d’una pressió atmosfèrica elevada.']
miratge,"['Aparició d’imatges anòmales dels objectes, per efecte de la refracció o de la reflexió total de la llum en les capes baixes de l’atmosfera, especialment quan es veuen els objectes com si fossin reflectits en una superfície d’aigua o en un mirall, o bé allargassats o duplicats. És considerat un meteor lluminós que consisteix en la percepció d’objectes llunyans en forma d’imatges virtuals. S’anomena miratge superior quan l’aparença del cel és d’un mirall damunt l’observador. És un miratge lateral quan sembla com si hi hagués un mirall vertical, i fata Morgana, quan hi ha una distorsió o multiplicació de les imatges, algunes de les quals resulten a vegades invertides.']"
miratge lateral,['Vegeu miratge.']
miratge inferior,"['Miratge que s’observa sobre extensions d’aigua o sòls fortament escalfats per la insolació, i en el qual la imatge virtual es troba per sota l’objecte real.']"
miratge superior,"['Miratge que s’observa sobre una zona nevada o mars freds, i en el qual la imatge virtual es troba per sobre l’objecte real.']"
mistral,['Vegeu mestral.']
mitigació,"['En el context del canvi climàtic, conjunt d’accions i actuacions portades a terme per l’ésser humà per a minimitzar els efectes potencialment adversos del canvi climàtic en les societats humanes.']"
mitjana,['Mitjana aritmètica.']
mitjana aritmètica,['Resultat de sumar els valors d’una quantitat variable i dividir la suma pel nombre d’ells.']
moda,"['En llenguatge estadístic, el valor d’un element variable que es presenta amb més freqüència. Pot coincidir o no amb la mitjana aritmètica, segons sia la forma de la corba de freqüència.']"
model baroclínic,['Model d’atmosfera baroclínica emprat en la predicció numèrica del temps.']
model barotròpic,['Model d’atmosfera barotròpica emprat en la predicció numèrica del temps.']
model climàtic,['Model numèric de predicció que permet tenir una representació del sistema climàtic.']
model d’àrea limitada,"['Model numèric de predicció niat en un model de circulació general, la malla del qual cobreix una porció de la superfície terrestre.']"
model de circulació general,['Model numèric que ofereix els estats futurs de l’atmosfera terrestre en conjunt.']
model numèric,"['Codi informàtic que integra el conjunt d’equacions matemàtiques de l’atmosfera, que es resolen en un superordinador mitjançant tota una sèrie d’aproximacions i mètodes numèrics, que permeten fer una predicció futura de l’estat de l’atmosfera. Les diferents aproximacions i maneres d’aquesta resolució defineixen els diferents models numèrics existents.']"
model de predicció,['Model numèric.']
monsó,"['Vent periòdic, d’alternança anual, que bufa del mar cap a la terra durant l’estiu (monsó d’estiu), i de terra cap a mar durant l’hivern (monsó d’hivern). La seva causa és la diferència de temperatures entre el mar i la terra, i l’àrea on actua és molt vasta comparada amb la de les brises diürnes, que tenen una causa semblant.']"
mur de föhn,['Banda de núvols semblant a un mur que cobreix les parts altes d’una serralada quan un vent intens incideix sobre ella de forma perpendicular i es produeix l’efecte föhn.']
mur nuvolós,"['Banda de núvols que té l’aspecte d’un mur, que s’observa en algunes tempestes.']"
murus,['Característica inclosa en l’Atles internacional de núvols per a identificar un núvol que té aspecte de mur o paret. Està associada principalment a tempestes multicel·lulars.']
núvol de paret,['Murus.']
mutatus,"['Sufix inclòs en un núvol quan ha sofert una completa transformació interna, passant d’un gènere a un altre de diferent.']"
nacrat,"['S’aplica als núvols (particularment altocúmulus) que mostren irisacions semblants a les del nacre, per efecte de la difracció de la llum.']"
nadir,['Punt del cel vers on es dirigeix la vertical cap avall.']
NAO,['Sigla de oscil·lació de l’Atlàntic Nord.']
NCC,['Sigla de nivell de condensació convectiu.']
NCE,['Sigla de nivell de condensació per elevació.']
NCL,['Sigla de nivell de convecció lliure.']
nebulositat,['Nuvolositat.']
nebulosus,['Dit de l’espècie de núvol del gènere cirroestratus o estratus en forma de vel o de capa molt prima en la qual no es poden diferenciar detalls.']
nefelòmetre,['Instrument meteorològic que mesura la quantitat de partícules suspeses en un medi tèrbol mitjançant mètodes òptics.']
nefelometria,['Estudi de les partícules en suspensió mitjançant tècniques de dispersió de la llum.']
nefoanàlisi,['Anàlisi sinòptica basada en els tipus i quantitat de núvols i precipitacions.']
nefocambra,"['Cambra on s’obtenen fotografies de núvols amb les quals es pot estudiar els seus desplaçaments en el temps, i de vegades la seva estructura.']"
nefologia,['Estudi dels núvols.']
nefòmetre,"['Instrument meteorològic que mesura la coberta de núvols, la nuvolositat.']"
nefoscopi,['Aparell per a determinar la direcció del moviment dels núvols i llur velocitat aparent.']
neu,"['Precipitació bon xic uniforme de cristalls hexagonals o esquelets d’aigua sòlida, generalment reunits en borrallons o flocs (volves, si són molt lleus) que cauen d’un sostre continu de núvols. L’aspecte del cel és el mateix que per a la pluja.']"
